atributo,pos_teste,cluster_a,cluster_b,estatistica,p_bruto,p_ajustado,significativo,dif_mediana_a_minus_b,n_a,n_b
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),2_1,4_3,-1.6834719417717898,0.09228376660276746,0.20178502300764112,False,-11.0,28,27
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),2_3,2_4,0.752883740122538,0.4515197797971813,0.5961814568195791,False,10.0,16,52
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),2_3,3_0,-2.9211444584435378,0.0034874807952916926,0.023714869407983508,True,-58.0,16,11
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),2_3,3_1,-2.205177099243299,0.02744166952527747,0.09330167638594339,False,-17.0,16,109
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),2_3,3_3,-1.5764094314242922,0.11493147621581694,0.2232954395050158,False,-17.0,16,47
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),2_3,3_4,-1.6481441158841943,0.09932310132305658,0.20466578454448023,False,-73.0,16,4
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),2_3,4_0,-0.4096792833504668,0.6820412289810752,0.7794756902640859,False,4.0,16,103
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),2_3,4_1,-0.26039730876564654,0.7945573186665662,0.8644783627092241,False,-16.0,16,19
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),2_3,4_2,-3.5589493212024044,0.0003723413631377665,0.0047570975425731505,True,-48.0,16,26
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),2_3,4_3,-1.4843172138216347,0.13772478570224536,0.2531158223716942,False,-17.0,16,27
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),2_4,3_0,-4.096073701105392,4.2021620061579464e-05,0.0008164200469106868,True,-68.0,52,11
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),2_4,3_1,-4.779989330653035,1.7530449756299132e-06,7.947137222855606e-05,True,-27.0,52,109
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),2_4,3_3,-3.336495250049959,0.0008484187845046262,0.0072115596682893225,True,-27.0,52,47
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),2_4,3_4,-2.190470713710707,0.028490116494572507,0.09450380105516734,False,-83.0,52,4
